,Name,Abaddon,Alchemist,Ancient Apparition,Anti-Mage,Arc Warden,Axe,Bane,Batrider,Beastmaster,Bloodseeker,Bounty Hunter,Brewmaster,Bristleback,Broodmother,Centaur Warrunner,Chaos Knight,Chen,Clinkz,Clockwerk,Crystal Maiden,Dark Seer,Dazzle,Death Prophet,Disruptor,Doom,Dragon Knight,Drow Ranger,Earth Spirit,Earthshaker,Elder Titan,Ember Spirit,Enchantress,Enigma,Faceless Void,Gyrocopter,Huskar,Invoker,Io,Jakiro,Juggernaut,Keeper of the Light,Kunkka,Legion Commander,Leshrac,Lich,Lifestealer,Lina,Lion,Lone Druid,Luna,Lycan,Magnus,Medusa,Meepo,Mirana,Morphling,Naga Siren,Nature's Prophet,Necrophos,Night Stalker,Nyx Assassin,Ogre Magi,Omniknight,Oracle,Outworld Devourer,Phantom Lancer,Phoenix,Puck,Pudge,Pugna,Queen of Pain,Razor,Riki,Rubick,Sand King,Shadow Demon,Shadow Fiend,Shadow Shaman,Silencer,Skywrath Mage,Slardar,Slark,Sniper,Spectre,Spirit Breaker,Storm Spirit,Sven,Techies,Templar Assassin,Terrorblade,Tidehunter,Timbersaw,Tinker,Tiny,Treant Protector,Troll Warlord,Tusk,Undying,Ursa,Vengeful Spirit,Venomancer,Viper,Visage,Warlock,Weaver,Windranger,Winter Wyvern,Witch Doctor,Wraith King,Zeus
0,Abaddon,0,1.6103,2.3792,4.026,0.8307,0.5142,0.4002,-1.7629,2.3083,0.4341,-1.1002,2.1482,1.4893,3.2702,-0.0782,-0.0372,2.6931,0.5964,-0.7789,0.1873,2.234,1.0358,0.2332,-0.2112,0.7036,-0.5268,0.7728,0.4951,0.8331,-0.3501,1.9477,1.2899,-1.2415,1.8877,-0.4589,-0.151,3.2528,3.7486,1.4996,0.0971,1.3849,1.3124,0.7855,4.0118,0.7,-0.065,1.7611,1.7462,3.3412,-0.9018,2.5906,-0.5716,0.3959,3.1875,0.0653,-0.6572,-0.5345,4.9695,0.4673,-0.9677,-0.2922,-1.1211,0.3467,0.3475,2.8827,1.7306,-0.5155,1.036,-0.4866,1.1836,-0.54,1.1887,0.5139,1.509,0.7319,2.3339,0.181,-1.4394,-2.6741,-1.7597,-0.2892,2.6348,1.3479,-0.4622,-0.5561,-1.3773,1.081,0.611,0.2533,-0.2995,-1.2511,1.1477,1.551,1.636,-0.124,0.8464,0.4314,2.6507,0.5955,0.1715,-0.4682,0.0375,0.8141,-0.1234,0.5066,2.5653,0.5574,0.1161,-0.5338,-0.856
1,Alchemist,-1.1417,0,2.1622,-0.7832,-0.7649,-0.6416,0.0747,0.6375,-0.7627,0.5706,1.4482,-0.1556,-0.1197,-1.2991,-1.315,0.3329,-1.0247,1.227,-0.7462,0.8956,-1.039,0.7075,1.3173,-0.3727,-0.5698,1.0183,0.6068,-1.6681,-1.9316,-2.8858,-0.0949,0.4159,-1.6768,-0.9744,0.7601,2.6098,-0.6233,-0.6194,-0.9051,0.0912,-0.063,-1.3268,1.4566,0.9298,0.8564,1.8009,0.8018,0.0487,0.4703,0.6555,0.3397,-1.6124,-2.4634,1.3823,-1.6111,1.7513,-1.8374,-0.4053,-1.0938,1.0483,0.4602,0.0918,0.3049,-0.7763,0.1681,-1.3552,-1.5005,-1.085,-0.4149,-0.8643,0.5078,-0.1171,-1.542,-0.4527,-0.628,0.5259,0.3128,0.2522,-1.9975,0.8185,0.4735,1.0076,0.3975,-2.7416,0.5736,-0.1399,-1.0399,1.2935,-0.7772,1.0534,-4.3964,0.6295,-1.3735,0.2644,-0.4115,2.3399,1.0378,-1.059,0.8143,0.1661,-1.0289,3.0448,-0.039,-0.6897,-1.523,-0.2821,-1.1204,0.0105,-1.2767,-2.0244
2,Ancient Apparition,-2.2809,-1.6884,0,3.7077,2.2379,-1.9238,1.0081,2.1928,5.1995,-0.1067,1.2438,1.8152,-2.8185,1.5543,0.4947,0.5722,0.877,2.5388,0.5642,-1.3248,-0.6066,-3.8581,-0.6227,-1.8183,0.5679,-2.0077,0.9375,2.926,-0.647,0.4466,1.7055,0.5156,0.4825,0.2095,-0.8796,-3.1124,0.9335,0.0548,-1.6244,0.967,0.2636,-0.5186,-0.6535,0.5387,-0.5012,-0.8087,0.4919,0.5026,3.324,0.9934,4.5268,0.1638,0.7784,-0.3975,0.1063,-0.725,2.9078,3.6206,-3.106,0.9577,1.5929,-0.5167,-2.9516,2.0993,0.4171,1.5945,-0.007,0.2994,-0.4233,0.6058,0.9677,0.2113,-0.0411,1.2311,-0.4707,1.4112,-0.2426,-0.5145,0.9555,1.2931,-0.6716,0.0908,0.0289,1.2178,0.4856,1.9694,-0.869,-0.2353,1.7986,1.8282,-2.7629,-1.1265,1.0478,0.9076,-0.8676,0.1039,0.77,-1.1925,0.1726,0.4296,-0.3491,-0.3095,2.0684,-0.6694,1.2043,0.98,-1.9174,-0.9119,-0.3941,-0.02
3,Anti-Mage,-3.3808,0.8804,-3.7649,0,-1.3444,0.9168,1.6422,0.8427,1.4429,3.0529,-1.3427,-2.1207,-0.7836,1.1231,-0.545,0.447,0.1592,2.9851,-4.6182,1.1651,-2.6594,0.6846,-0.523,0.0386,0.0587,1.3793,2.8432,-1.6066,-0.1963,-1.8061,0.0713,0.4232,-0.3428,-1.819,-0.6606,2.192,0.1289,1.3498,-1.3391,-1.4022,-0.0843,1.0019,3.2385,-2.0993,-2.4072,-1.4819,-0.017,1.3053,0.8057,0.2787,0.9982,0.4049,-4.0944,5.381,-2.5163,-3.0902,-0.9301,-1.7104,-2.1851,1.7117,-1.1445,0.0265,0.0364,-1.5289,2.9089,-1.0976,-2.8328,-1.3178,-2.1635,-3.7392,0.239,-0.7439,0.4661,0.2239,-0.54,1.3359,-0.3961,1.6555,-1.1186,-0.7032,3.4104,-3.4095,-1.6196,-3.6791,1.3959,-4.1259,1.3448,-1.2274,2.2393,2.2017,-1.3813,-0.364,-2.9376,1.6577,-0.1591,3.3534,-0.2344,-3.6627,0.7323,0.6356,-2.6654,-0.2019,-0.7284,0.2345,-0.1766,0.7492,-2.4439,0.8738,-5.73,-5.2297
4,Arc Warden,-1.3241,-0.4179,-2.6336,0.2257,0,-2.3188,-0.2374,0.3829,6.4121,-0.8267,-1.4774,4.6272,0.9596,8.6354,0.3652,3.7128,5.6539,0.1632,-2.1934,-3.0675,0.2452,-0.7107,-0.4654,-3.8477,0.3229,0.2599,-0.2248,0.2728,-1.6353,-2.2342,0.6961,2.1352,1.0754,-1.0518,2.594,1.1934,-2.9412,-0.6874,0.8514,-1.9864,-0.58,-2.017,-0.8208,3.8139,-2.8885,-0.6635,-0.3896,-3.6687,10.1893,1.665,8.8069,-2.2416,-1.6668,5.3422,-4.9465,-2.3408,4.4236,4.6753,-3.462,1.4116,-0.8433,-1.1599,-3.0527,0.3126,0.8061,4.5356,-3.7361,0.2912,-4.5253,3.1024,-0.3224,3.2044,-2.9361,-1.3518,-0.3078,1.3477,-1.2147,-1.2318,-3.8843,-1.7083,-2.1694,-1.0133,-1.4839,-1.0942,-0.4895,-1.3797,-3.4685,-1.4249,0.6809,-1.7734,-0.6865,-3.8808,-4.0415,1.6824,1.136,0.3112,2.4421,-0.8094,-0.8922,0.3528,0.9414,-0.4358,-0.0349,-1.4797,-0.2444,-1.2879,0.0063,-1.5633,-2.2994,-2.3641
5,Axe,0.2463,0.41,1.809,-1.3453,-0.1226,0,-1.3258,0.6034,-4.1888,-0.8719,0.2045,-1.9208,-0.0985,-4.4248,-0.4487,-3.3888,-2.8627,-1.7086,2.2225,-0.2533,0.4076,-2.463,2.3701,1.8853,1.9452,-0.3626,-0.8442,0.2978,0.0315,1.683,0.4778,-0.8566,1.1045,-0.6645,0.4318,-1.4581,1.9864,-2.055,1.6916,0.3712,0.6631,1.4122,0.1281,-0.3228,0.9476,1.0163,0.7805,0.4187,-2.7992,-1.0167,-4.935,0.4451,1.2794,-3.9042,-0.4555,0.5602,-2.587,-0.6159,2.3635,-1.5157,-0.4936,0.175,-1.9846,-0.2758,1.8729,-4.2612,3.2334,0.3487,1.159,1.2896,0.6425,-0.0822,-0.8929,-0.4915,-0.3819,1.1311,0.1558,-0.5118,1.7715,0.8908,-0.1668,0.0707,0.0266,2.0735,-0.1346,0.4714,-0.4842,-0.4014,-1.6876,-2.8824,-0.6103,4.0725,1.4765,1.1195,0.0083,-4.3988,-1.017,1.0456,-0.2152,-0.7438,3.3455,-0.2269,-3.8087,1.6011,-2.1507,-0.8297,-1.4758,1.8128,1.3352,2.1081
6,Bane,-0.6186,-0.5869,-1.2089,-1.7685,0.1747,-0.3821,0,-0.7535,2.2494,-0.4474,-0.6953,0.9053,-0.0157,1.0429,0.2919,3.9535,-0.8706,-0.6952,0.1606,-1.2517,-0.8003,-0.4872,0.8462,-1.1253,0.6596,-0.5816,0.5093,-1.74,0.6636,-0.2311,0.6184,-0.3028,1.5253,-1.27,0.8856,0.836,-0.5788,-4.1745,-0.3235,-1.6152,-3.2426,0.5041,-1.3118,1.5319,-1.3134,-1.5529,0.6353,-1.2253,1.3699,0.3336,2.1351,-0.5205,0.0709,0.4107,-1.1897,0.115,1.5459,0.8052,-0.6281,-0.1088,-0.2165,0.2574,-1.9619,-1.3969,-0.6428,2.6492,-0.5699,0.0376,-1.8061,0.4649,0.1512,1.1129,-2.6606,0.0625,0.5326,0.0706,-1.0098,0.2075,0.3025,-0.8492,-0.024,-1.1675,0.0584,-0.1637,-0.0917,-0.6574,-1.7391,-2.6467,0.3424,0.3622,-3.4444,-2.7044,-1.4555,0.0406,0.2161,-0.9033,0.9485,1.2421,-0.949,-0.5263,0.7908,0.0703,-3.6799,0.8872,-0.0841,-0.203,-0.6139,0.4117,-0.9134,-0.6006
7,Batrider,1.3843,-1.2815,-2.4067,-1.1969,-0.4087,-2.2754,0.739,0,6.0012,-0.3904,-0.2963,0.4834,-0.3342,1.4816,0.0041,1.3707,3.3473,1.0095,-0.4677,-2.2205,-2.1536,-1.0619,1.6788,-2.0307,-0.149,-0.6462,1.2354,-0.0076,-0.8948,-0.7272,0.9701,2.2291,0.9525,-0.2999,0.8981,2.5341,-1.9943,-0.1377,0.4855,-0.5117,-1.3415,-0.3994,-2.194,4.0542,-1.1713,0.4797,-0.69,-1.2254,5.3832,0.8953,4.1574,-0.125,0.4809,2.2507,-2.7501,0.4562,2.9158,2.4587,-1.6448,-0.5399,-0.7143,-0.6777,-0.8754,3.8448,0.5198,-0.1084,-0.7072,-0.1152,-3.5478,1.9159,0.3997,1.4044,-2.006,-1.0998,-1.2828,-0.4765,-0.3719,0.064,0.4457,-0.7884,-1.6207,-0.4953,0.7071,-0.9181,-1.7967,0.582,-3.0315,-2.0328,-4.0706,-1.1371,-0.53,-3.7089,-2.7683,-0.6113,-0.4727,-1.0195,-0.3459,-0.8862,-1.6021,0.0296,2.7514,1.513,1.5415,0.2978,2.4351,0.0576,-1.6584,0.1477,-1.2304,-1.2788
8,Beastmaster,-2.417,0.5253,-5.0242,-1.1169,-6.6622,2.605,-2.2429,-6.1,0,0.463,0.6069,-2.0752,1.7154,-2.1412,1.4515,0.5001,-11.7707,0.1354,-0.2434,-1.3378,-1.6498,-3.3728,-1.087,0.0882,1.471,-0.345,0.3732,-0.7609,1.3118,-1.4914,2.4697,-2.3878,0.0465,0.8638,2.1381,0.7608,0.4493,-9.2655,2.8982,0.1062,-4.1508,3.2762,-0.2254,0.2107,0.5382,-0.8635,1.4675,-0.4221,-2.8354,0.3937,0.8433,1.5394,0.7241,-7.0238,-0.6211,-1.4369,-0.2724,0.4461,-0.0153,-1.4581,-0.4094,-1.2871,-0.1277,-4.0969,-0.8034,2.4527,-1.0027,-0.6813,-1.6998,0.1353,1.1727,-0.1745,-1.5294,1.0478,0.6311,-2.8189,0.5964,0.3694,-0.6045,-1.6478,-0.381,0.0762,2.3033,1.4896,-0.3782,0.1343,0.6541,-9.3499,-0.8358,1.7774,-0.5566,2.8221,1.0751,0.9482,-1.3592,-1.15,2.2435,0.8329,-0.7291,-0.0283,-0.2049,1.2722,-10.326,0.7856,-0.0338,0.5247,0.4992,0.7164,-3.9116,0.0712
9,Bloodseeker,0.0824,-0.5602,0.1209,-2.7206,-0.1276,0.4644,-0.0294,-0.1943,-0.6415,0,-0.4577,1.5371,0.6065,0.5873,-0.865,1.5869,-0.7289,-1.2547,0.4736,-0.1073,-1.4156,0.3867,-0.7417,-0.0711,0.2501,0.7259,-1.5277,-0.6041,-0.2436,0.2841,0.9701,1.1648,-0.4192,-0.7548,0.1897,1.3646,-0.2994,0.2054,-0.3551,0.3263,0.8853,-0.9411,1.5709,-0.0378,-0.4772,1.5335,0.0161,0.6948,-0.2452,-0.6283,-1.5721,-0.9087,1.3596,1.3736,-1.053,1.0384,-0.1124,1.1949,0.451,-1.01,-0.701,1.4945,-1.9651,-0.2783,0.0307,0.5065,-1.4039,0.0865,0.0685,-0.4953,-0.0137,-0.8424,-2.1032,-0.151,-1.3312,-0.2199,1.1036,0.5975,-1.0824,0.0977,0.7321,-1.4934,-0.1417,0.4737,-0.0182,1.669,-0.3035,2.716,-0.2961,-0.2501,0.0291,-1.5341,1.3543,1.2779,-0.0833,0.6389,1.0206,-1.5442,-0.4778,0.2489,0.0671,0.5427,0.2533,0.3804,-1.9424,0.6039,1.6534,0.1537,2.2175,0.3112
